Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
111,ܡܠܐ,ܡܠܳܐ,1765,27162.9,Verb,"ܡܠܳܐ fut. ܢܶܡܠܶܐ, Ia to fill, complete; to be full; Ip to be filled, completed; IIa to fill up, fulfill, complete; IIp; III to fill up.","to fill, complete",
112,ܐܠܗܝܐ,ܐܰܠܳܗܳܝܳܐ,132,26532.56,NounAdj,"ܐܰܠܳܗܳܝܳܐ divine, godly, God-like, holy.","divine, God-like, holy ",Christianity
113,ܢܣܒ,ܢܣܰܒ,1984,26135.31,Verb,"ܢܣܰܒ fut. ܢܶܣܰܒ, Ia to take, receive; + ܒ̈ܢܶܫܶܐ to marry; + ܒܰܐܦ̈ܶܐ to favor; to be a hypocrite; Ip.","to take, receive",
114,ܫܒܚ,ܫܰܒܰܚ,14983,26123.13,Verb,"ܫܰܒܰܚ IIa to praise, glorify; to hold an opinion; Lit. to sing the Gloria; IIp.",to praise; Lit. to sing the Gloria,Music
115,ܐܚܐ,ܐܰܚܳܐ,66,25920,NounAdj,"ܐܰܚܳܐ brother; companion; friar, monk.",brother; monk,Christianity
116,ܚܘܒܐ,ܚܽܘܒܳܐ,925,25649.4,NounAdj,ܚܽܘܒܳܐ love.,love,Emotions
117,ܡܨܐ,ܡܨܶܐ,15751,25459.67,Passive Participle,"ܡܨܳܐ 2 fut. ܢܶܡܨܶܐ, Ia pass. part. ܡܨܶܐ to be able, capable; Ip to be able, prevail over; to resist.","to be able, capable",
118,ܒܠܚܘܕ,ܒܰܠܚܽܘܕ,1660,25164,Adverb,"ܒܰܠܚܽܘܕ alone, only.","alone, only",
119,ܡܠܟܘܬܐ,ܡܰܠܟܽܘܬܳܐ,1785,25127,NounAdj,"ܡܰܠܟܽܘܬܳܐ rule, reign, kingdom, royal dignity.","reign, kingdom",
120,ܒܓܘ,ܓܰܘ,526,24963.52,Prep,"ܓܰܘ , ܠܓܰܘ ܡܶܢ, ܒܓܰܘ inside, within. ܒܓܰܘ inside (see ܓܰܘ).","inside, within",
121,ܐܦܠܐ,ܐܳܦܠܳܐ,3468,24803,Particle,ܐܳܦ݂ not even,not even,
122,ܡܠܠ,ܡܰܠܶܠ,14963,24752,Verb,"ܡܰܠܶܠ IIa to speak, talk; ܡܡܰܠܶܠ ܐܰܠܳܗܝ̈ܳܬܳܐ theologian; ܡܡܰܠܶܠ ܟܝܳܢ̈ܝܳܬܳܐ physiologist etc.; IIp to be spoken, told, said.","to speak, talk",
123,ܒܪܐ,ܒܪܳܐ,470,24510.15,Verb,"ܒܪܳܐ fut. ܢܶܒܪܶܐ, Ia to create",to create,
124,ܟܗܢܐ,ܟܳܗܢܳܐ,1475,24340,NounAdj,ܟܳܗܢܳܐ priest.,priest,
125,ܡܝܐ,ܡܰܝ̈ܳܐ,1748,24219.48,NounAdj,ܡܰܝ̈ܳܐ water; juice.,water; juice,Liquids
126,ܚܫܐ,ܚܰܫܳܐ,1168,23876.94,NounAdj,"ܚܰܫܳܐ suffering, pain; sorrow, sadness; passion, affection; the Passion.",suffering; sorrow; the Passion,
127,ܠܒܐ,ܠܶܒܳܐ,1619,23563.95,NounAdj,"ܠܶܒܳܐ (pl. ܠܶܒܰܘ̈ܳܬܳܐ) m. heart; midst + ܕܠܳܐ senseless, without understanding; ܠܶܒܳܐ ܕܚܶܛܬܳܐ starch.",heart; midst ܠܶܒܳܐ ,
128,ܗܝܡܢܘܬܐ,ܗܰܝܡܳܢܽܘܬܳܐ,166,23200,NounAdj,ܗܰܝܡܳܢܽܘܬܳܐ faith; creed; confidence; fidelity.,faith; creed; fidelity,
129,ܫܠܳܡܐ,ܫܠܳܡܳܐ,3229,23156.52,NounAdj,"ܫܠܳܡܳܐ peace, welfare; salutation.", peace; salutation,
130,ܟܠܐ,ܟܠܳܐ,1528,22968.9,Verb,"ܟܠܳܐ fut. ܢܶܟܠܶܐ, Ia to hinder, hold back; to prohibit; Ip to refuse, refrain; to be hindered, prohibited; IIa, IIIa = Ia.",to hinder; to prohibit,
131,ܝܠܕ,ܝܺܠܶܕ,1371,22834,Verb,"ܝܺܠܶܕ fut. ܢܺܐܠܰܕ, Ia to give birth to, to bear; to beget, generate; Ip; IIp to help to give birth; IIIa to beget, procreate, bring forth; to effect, cause; IIIp to be helped by a midwife; to be brought to birth.",to give birth to; to beget,
132,ܬܡܢ,ܬܰܡܳܢ,3408,22682.05,Particle,ܬܰܡܳܢ there.,there,
133,ܟܬܒ,ܟܬܰܒ,1600,22593,Verb,"ܟܬܰܒ fut. ܢܶܟܬܽܘܒ, Ia to write, copy out; to inscribe; to be written, put in writing; to be enrolled; to be described; IIIa to write (a book); to commit to writing, to record; to have something written; to dictate; to ascribe to.",to write; to inscribe,
134,ܟܬܒܐ,ܟܬܳܒܳܐ,1601,22556,NounAdj,"ܟܬܳܒܳܐ book, writing, document; Scripture.",book; Scripture,
135,ܚܝܐ,ܚܝܳܐ,1018,22547.68,Verb,"ܚܝܳܐ fut. ܢܺܐܚܶܐ & ܢܺܚܶܐ, imp. ܚܝܺܝ, Ia to live, be alive, revive; to be saved; IIIa to give life, keep alive, save alive, bring to life; to save; IIIp.","to live, to be saved",
136,ܕܡܐ,ܕܡܳܐ,719,22363.5,NounAdj,"ܕܡܳܐ blood, bloodshed; sap, juice (of plants).",blood,Bodies
137,ܪܚܡ,ܪܚܶܡ,2997,22341.32,Verb,"ܪܚܶܡ fut. ܢܶܪܚܰܡ, Ia to love, to delight in; IIa, IIp to have mercy (on); IIIa to show love; to obtain a favor.","to love, to delight in",Emotions
138,ܝܬܝܪܐ,ܝܰܬܺܝܪܳܐ,1442,22042,NounAdj,"ܝܰܬܺܝܪܳܐ surpassing, abundant, especial; superfluous, excessive.",abundant; excessive,
139,ܫܠܝܚܐ,ܫܠܺܝܚܳܐ,3212,22012.23,NounAdj,"ܫܠܺܝܚܳܐ messenger, emissary; apostle; the Epistles (of Paul the Apostle); naked, stripped.",messenger; apostle or Epistles,Christianity
140,ܕܝܢܐ,ܕܺܝܢܳܐ,692,22002,NounAdj,"ܕܺܝܢܳܐ judgment, sentence, verdict.",judgment,
141,ܫܪܪܐ,ܫܪܳܪܳܐ,3310,21978,NounAdj,"ܫܪܳܪܳܐ truth; firmness, faithfulness.",truth; faithfulness,
142,ܬܫܒܘܚܬܐ,ܬܶܫܒܽܘܚܬܳܐ,3139,21922,NounAdj,"ܬܶܫܒܽܘܚܬܳܐ (pl. ܬܶܫܒ̈ܚܳܬܳܐ) praise, glory, magnificence; canticle.","praise, glory; canticle",
143,ܥܒܕܐ,ܥܰܒܕܳܐ,2222,21736.6,NounAdj,"ܥܰܒܕܳܐ servant, slave.","servant, slave",
144,ܗܫܐ,ܗܳܫܳܐ,827,21669,Adverb,ܗܳܫܳܐ now.,now,
145,ܢܒܝܐ,ܢܒܺܝܳܐ,1893,21426,NounAdj,ܢܒܺܝܳܐ prophet.,prophet,Religion
146,ܐܪܙܐ,ܐ̱ܪܳܙܳܐ,7749,21198.67,NounAdj,"ܐ̱ܪܳܙܳܐ (= ܪܳܐܙܳܐ) symbol, mystery, secret; pl. ܐ̱ܪ̈ܳܙܶܐ (liturgical) Mysteries. (See further under -ܪܐܙ).","symbol, mystery, secret",
147,ܢܘܪܐ,ܢܽܘܪܳܐ,1939,21164.29,NounAdj,ܢܽܘܪܳܐ f. fire.,fire,Nature
148,ܝܕܐ,ܝܺܕܳܐ,14731,21029.23,Verb,"ܝܕܐ* IIIa ܐܰܘܕܺܝ to confess, acknowledge; to profess, assert; to believe; to give thanks (to); IIIp to be acknowledged, recognized; to be confessed; to be praised; IVp ܐܶܫܬܰܘܕܺܝ to confess; to consent; + ܥܰܡ to make alliance with.",to confess; to believe; to give thanks (to),
149,ܡܕܝܢܬܐ,ܡܕܺܝܢ̱ܬܳܐ,5118,20619,NounAdj,"ܡܕܺܝܢ̱ܬܳܐ town, city.","town, city.",
150,ܫܒܩ,ܫܒܰܩ,3109,20477,Verb,"ܫܒܰܩ fut. ܢܶܫܒܽܘܩ, Ia to leave, to leave behind; to dismiss, repudiate; to permit; to forgive, remit; to forsake, to omit, to leave out; Ip to be left, deserted, repudiated, forgiven, passed over, deferred.",to forgive; to permit; to dismiss,
151,ܠܘܩܒܠ,ܠܽܘܩܒܰܠ,2724,20461,Prep,"ܠܽܘܩܒܰܠ opposite, against; in front of, facing, towards; according to, in comparison.",opposite; facing; in comparison,
152,ܟܡܐ,ܟܡܳܐ,1538,20456,Particle,"ܟܡܳܐ how much, how many; + -ܕ as much as, as long as; ܟܡܳܐ ܙܰܒܢܺܝ̈ܢ sometimes, often enough.","how much, how many",
153,ܨܒܝܢܐ,ܨܶܒܝܳܢܳܐ,2654,20305,NounAdj,ܨܶܒܝܳܢܳܐ will.,will,
154,ܥܝܢܐ,ܥܰܝܢܳܐ,2308,20117.16,NounAdj,"ܥܰܝܢܳܐ f. eye (pl. ܥܰܝ̈ܢܶܐ); source, spring (pl. ܥܰܝ̈ܢܳܬܳܐ); arch (of bridge); brightness; surface; bud; ܒܶܝܬ ܥܰܝ̈ܢܶܐ forehead; ܒܥܰܝ̈ܢܰܝ in sight of, before; ܠܥܰܝ̈ܢܰܝ ܠܥܺܝܢ in the sight of; ܥܺܝܢ ܥܶܓܠܳܐ sardonyx.","source, spring; surface",
155,ܐܒܐ,ܐܶܒ݁ܳܐ,9640,19952.1,NounAdj,"ܐܶܒ݁ܳܐ (pl. ܐܶܒ̈ܳܢܶܐ) fruit, produce.",fruit,
156,ܐܘܪܚܐ,ܐܽܘܪܚܳܐ,58,19924,NounAdj,"ܐܽܘܪܚܳܐ (pl. ܐܽܘܪ̈ܚܳܬܳܐ) f. road, street, way, journey; manner; ܚܕܳܐ ܐܽܘܪܚܳܐ once and for all.","road, way; manner",
157,ܡܠܐܟܐ,ܡܰܠܰܐܟܳܐ,1773,19850,NounAdj,"ܡܰܠܰܐܟܳܐ angel, messenger.","angel, messenger",
158,ܢܛܪ,ܢܛܰܪ,1954,19778,Verb,"ܢܛܰܪ fut. ܢܶܛܰܪ rare ܢܶܛܽܘܪ, Ia to guard, watch, keep, preserve, retain; Ip to be guarded; to be observed; to be retained; to abstain from; ܢܳܛܰܪ ܟܽܘܪܣܺܝ, ܢܳܛܰܪ ܟܽܘܪܣܝܳܐ ‘keeper of the see’ (Patriarchal-candidate from birth in the hereditary system of the Church of the East); Kth. ܢܳܛܰܪ ܐ̱ܪܳܙܳܐ secretary; IIa to keep safe, to take care of; IIIa to put in a safe place, to preserve, to entrust.","to guard, retain",
159,ܐܢܬܘܢ,ܐܰܢ̱ܬܽܘܢ,8070,19759.14,Pronoun,"ܐܰܢ̱ܬܽܘܢ m. you (pl.), f. ܐܰܢ̱ܬܶܝܢ.","you (m., pl.)",
160,ܡܘܬ,ܡܽܘܬ,15569,19699,Verb,"ܡܺܝܬ fut. ܢܡܽܘܬ, Ia to die; Ip to be put to death; IIIa to put to death, kill; to mortify.",to die,Death
161,ܒܪܝܬܐ,ܒܪܺܝܬܳܐ,473,19504.65,NounAdj,"ܒܪܺܝܬܳܐ creation, created world; creature.",creation; creature,
162,ܫܪܝܪܐ,ܫܰܪܺܝܪܳܐ,3307,19333,NounAdj,"ܫܰܪܺܝܪܳܐ true, solid, sound, valid; officer, official.",true; officer,
163,ܫܪܟܐ,ܫܰܪܟܳܐ,3327,19231.02,NounAdj,"ܫܰܪܟܳܐ remnant, rest; ܘܫܰܪܟܳܐ, ܘܰܕܫܰܪܟܳܐ etc.","remnant, rest",
164,ܫܕܪ,ܫܰܕܰܪ,15074,19229,Verb,ܫܰܕܰܪ IIa to send; IIp.,to send,
165,ܙܕܩ,ܙܳܕܶܩ,848,19002,Verb,"ܙܕܩ Ia ܙܳܕܶܩ it is right, fitting; IIa to justify, declare righteous; to verify; to give alms; to assign; IIp.","it is right, fitting",
166,ܛܘܒܐ,ܛܽܘܒܳܐ,1199,18935.5,NounAdj,"ܛܽܘܒܳܐ good, good things; beatitude, bliss; ܛܽܘ̈ܒܶܐ the Beatitudes; ܛܽܘܒܰܝ̈ܟ blessed are you (etc.).","good things; beatitude, bliss",
167,ܫܘܐ,ܫܘܳܐ,3129,18931.7,Verb,"ܫܘܳܐ fut. ܢܶܫܘܶܐ, Ia to be even, equal; to be worth, worthy; to agree with; -ܫܘܶܐ ܒ‍ co-, fellow-; ܫܘܶܐ ܒܽܐܘܣܺܝܰܐ consubstantial; Ip to be held worthy; to agree; to unite, come together; IIa to spread out (rug etc.); to smooth; to wipe; to treat as equal; IIp; IIIa to level, to smooth; to hold equal; to consider worthy.",to be even; to be worthy; to agree with,
168,ܠܥܠ,ܠܥܶܠ,11078,18925.9,Adverb,"ܠܥܶܠ upwards, up.",upwards,
169,ܩܘܕܫܐ,ܩܽܘܕܫܳܐ,2759,18838.8,NounAdj,ܩܽܘܕܫܳܐ holiness; holy things; sanctuary; consecration; ܪܽܘܚܳܐ ܕܩܽܘܕܫܳܐ Holy Spirit.,holiness; holy things,Christianity
170,ܥܒܪ,ܥܒܰܪ,2232,18477.59,Verb,"ܥܒܰܪ fut. ܢܶܥܒܰܪ, Ia to pass on, pass by, to cross; to transgress; to surpass; Ip; IIIa to transfer, to remove; to pass over, to remit; to convert; to omit; to defer; IIIp to be translated, removed, transferred.",to cross; to transgress; to surpass,
171,ܢܡܘܣܐ,ܢܳܡܽܘܣܳܐ,1980,18409,NounAdj,"ܢܳܡܽܘܣܳܐ law, custom, usage; the Law (Pentateuch).",Law; the Law (Pentateuch),
172,ܫܦܝܪܐ,ܫܰܦܺܝܪܳܐ,3295,18303,NounAdj,"ܫܰܦܺܝܪܳܐ fair, lovely, good, excellent.","lovely, good, excellent",
173,ܨܝܕ,ܨܶܐܕ,2685,18252.2,Prep,"ܨܶܐܕ (= ܨܶܝܕ) towards, to, with. ܨܶܝܕ (= ܨܶܐܕ) to, towards.","Towards, to, with",
174,ܝܕܥܬܐ,ܝܺܕܰܥܬܳܐ,1305,18149,NounAdj,"ܝܺܕܰܥܬܳܐ knowledge; understanding, apprehension; intelligence; indication; ܡܩܰܕܡܽܘܬ ܝܺܕܰܥܬܳܐ foreknowledge; prognosis.",knowledge; intelligence,
175,ܦܩܕ,ܦܩܰܕ,2567,18115,Verb,"ܦܩܰܕ fut. ܢܶܦܩܽܘܕ, Ia to command, order; to bid, instruct; to review, inspect; to inquire after, seek out; Ip to be missing, to be sought for; IIa to give a charge, order; IIp.",to command; to inquire after,
176,ܣܠܩ,ܣܠܶܩ,2145,17966.5,Verb,"ܣܠܶܩ fut. ܢܶܣܰܩ, Ia to ascend, go up; to turn out, to succeed; IIa to lift up; to winnow; IIp to be lifted up; to ascend; IIIa ܐܰܣܶܩ to raise up, lift up, bring up; to pay tribute; to impose tribute; to emboss; to enhance.","to ascend; to turn out, to succeed",Movement
177,ܝܠܦ,ܝܺܠܶܦ,1380,17932.8,Verb,"ܝܺܠܶܦ Ia to learn; IIa ܐܰܠܶܦ to teach, train, instruct; IIp to be instructed; to inform oneself.",to learn,
178,ܚܝܐ,ܚܰܝܳܐ,1019,17860.05,NounAdj,"ܚܰܝܳܐ living, alive; raw, unripe.",alive; raw,
179,ܡܢ,ܡܰܢ,1797,17174.45,Pronoun,"ܡܰܢ who, which?","who, which?",
180,ܗܝܕܝܢ,ܗܳܝܕܶܝܢ,789,17124.94,Particle,ܗܳܝܕܶܝܢ then.,then,
181,ܫܠܡ,ܫܠܶܡ,3227,17122.75,Verb,"ܫܠܶܡ fut. ܢܶܫܠܰܡ, Ia to come to an end, to be concluded; to be complete; to agree with; to consent to, to concede; to approve; to adhere to; to resemble; Ip to be delivered up; to be in agreement; IIa to finish, to complete, to conclude; to fulfill; to repair, to restore; to recompense; to greet; to take leave of, to die; IIp to be completed, to be accomplished; to be surrendered, handed over; to be brought to a state of peace; IIIa to hand over, to commit; to give up, to surrender; to achieve, to finish; to transmit, hand down; IIIp to be handed over; to take possession of; to be handed down.",to come to an end; to be complete; to agree with,Movement
182,ܕܡܘܬܐ,ܕܡܽܘܬܳܐ,722,17072.43,NounAdj,"ܕܡܽܘܬܳܐ likeness, form, shape, example, image, appearance.","likeness, image, appearance",
183,ܦܘܩܕܢܐ,ܦܽܘܩܕܳܢܳܐ,2566,16947,NounAdj,"ܦܽܘܩܕܳܢܳܐ commandment, order; Gram. imperative.","commandment, order; Gram. Imperative",
184,ܫܩܠ,ܫܩܰܠ,3303,16907.82,Verb,"ܫܩܰܠ fut. ܢܶܫܩܽܘܠ, Ia to lift; to carry, take, receive; to remove; + ܛܰܥܢܳܐ to take trouble, to undertake; Ip to be lifted up, taken up; to be captured (of town); to be abolished; IIa to raise, carry, sustain; IIp to be exalted; to prevail over; IIIa to set off, depart; to migrate, to immigrate.",to lift; to receive; to remove,
185,ܨܠܝܒܐ,ܨܠܺܝܒܳܐ,2696,16902.2,NounAdj,ܨܠܺܝܒܳܐ cross; sign of the cross.,cross; sign of the cross,Christianity
186,ܒܪܟ,ܒܪܶܟ,356,16690.8,Verb,"ܒܪܶܟ, ܒܪܰܟ fut. ܢܶܒܪܰܟ & ܢܶܒܪܽܘܟ, Ia to kneel; IIa to bless, pronounce a blessing; IIp; IIIa to cause to kneel.",to kneel,
187,ܬܪܥܐ,ܬܰܪܥܳܐ,3448,16581.17,NounAdj,"ܬܰܪܥܳܐ door, gate; gateway, approach; court; stanza, chapter; opening; mountain pass.",door; chapter; opening,
188,ܐܢܬܬܐ,ܐܰܢ̱ܬܬܳܐ,11191,16502.4,NounAdj,"ܐܰܢ̱ܬܬܳܐ, ܢܶܫ̈ܶܐ woman, wife.","woman, wife",Family
189,ܗܝܡܢ,ܗܰܝܡܶܢ,165,16460.52,Verb,ܗܰܝܡܶܢ IVa to believe; to have faith in; to trust; IVp.,to believe; to trust,Emotions
190,ܥܒܕܐ,ܥܒܳܕܳܐ,2223,16293.4,NounAdj,"ܥܒܳܕܳܐ work, occupation; action; making, construction; possessions; province; ܒܰܥܒܳܕܳܐ in deed, in reality.",work; making,
191,ܐܝܟܐ,ܐܰܝܟܳܐ,83,16240,Particle,ܐܰܝܟܳܐ where?,where?,
192,ܒܣܪܐ,ܒܶܣܪܳܐ,422,16172.42,NounAdj,ܒܶܣܪܳܐ flesh; pulp (of fruit); Kth. meat.,flesh; meat,Food
193,ܢܚܬ,ܢܚܶܬ,1949,16162.66,Verb,"ܢܚܶܬ fut. ܢܶܚܽܘܬ, Ia to go down, descend; Ip; IIa to bring down; to lower, to abase; IIp to lower oneself, to stoop down; IIIa ܐܰܚܶܬ to bring down, to take down, to cause to come down.","to go down, descend",Movement
194,ܗܪܟܐ,ܗܳܪܟܳܐ,819,15958,Particle,ܗܳܪܟܳܐ here.,here,
195,ܠܒܪ,ܠܒܰܪ,462,15861,Particle,"ܠܒܰܪ outside, exterior.",outside,
196,ܣܒܪ,ܣܒܰܪ,2056,15785.36,Verb,"ܣܒܰܪ fut. ܢܶܣܒܰܪ, Ia to think, to believe, to suppose; Ip to be supposed, considered; IIa to hope, to trust (in); to announce, declare; IIp to be announced, proclaimed; to be considered; to seem; IIIa to think, suppose; to suspect; to profess to be.","to think, to believe, to suppose",
197,ܣܗܕܐ,ܣܳܗܕܳܐ,2078,15769.53,NounAdj,ܣܳܗܕܳܐ witness; martyr.,witness; martyr,
198,ܫܐܠ,ܫܐܶܠ,3094,15734,Verb,"ܫܐܶܠ fut. ܢܶܫܰܐܠ, Ia to ask; to inquire; to borrow; Ip to excuse oneself; to decline; IIa to question, to interrogate; IIp; IIIa to lend.",to ask; to borrow,
199,ܡܝܬܐ,ܡܺܝܬܳܐ,1732,15693.98,NounAdj,ܡܺܝܬܳܐ dead person.,dead person,People
200,ܦܢܐ,ܦܢܳܐ,2539,15597.8,Verb,"ܦܢܳܐ fut. ܢܶܦܢܶܐ, Ia to turn, to return; Ip; IIa to restore; to return; to respond, answer, reply; IIp; IIIa to bring back; to convert; to turn.","to turn, to return",Movement
201,ܝܡܐ,ܝܺܡܳܐ,1383,15595.66,Verb,"ܝܺܡܳܐ fut. ܢܺܐܡܶܐ, Ia to swear, take an oath; IIIa ܐܰܘܡܺܝ to make to swear, bind by oath; to adjure, call to witness; to exorcize; IIIp to be put to oath; to be adjured; to be exorcized.","to swear, take an oath",Movement
202,ܓܠܐ,ܓܠܳܐ,567,15581.3,Verb,"ܓܠܳܐ fut. ܢܶܓܠܶܐ, Ia to uncover, reveal, make known; Ip; IIa to uncover, disclose; to lead, go into captivity; IIp; IIIa to uncover.","to uncover, make known",
203,ܩܢܘܡܐ,ܩܢܽܘܡܳܐ,2840,15512,NounAdj,"ܩܢܽܘܡܳܐ being, self, substance; person; hypostasis; subsistence; proper characteristic.",person; hypostasis; being,
204,ܐܡܐ,ܐܶܡܳܐ,159,15464.22,NounAdj,"ܐܶܡܳܐ (pl. ܐܶܡ̈ܗܳܬܳܐ, ܐܶܡ̈ܳܗܶܐ) f. mother, parent.",mother,Family
205,ܛܘܒܢܐ,ܛܽܘܒܳܢܳܐ,1200,15302.5,NounAdj,ܛܽܘܒܳܢܳܐ blessed.,blessed,
206,ܣܓܝܐܐ,ܣܰܓܺܝ,6135,15121.57,Adverb,"ܣܰܓܺܝ much, greatly.","much, greatly",
207,ܦܘܡܐ,ܦܽܘܡܳܐ,2465,15120.36,NounAdj,ܦܽܘܡܳܐ mouth; opening.,mouth; opening,
208,ܨܠܐ,ܨܠܳܐ,2693,15042.37,Verb,"ܨܠܳܐ fut. ܢܶܨܠܶܐ, Ia to turn aside, incline; to set a trap; Ip to lean, incline; to be prone to, inclined to; IIa to pray; IIp to be offered in prayer.",to turn aside; to set a trap,Movement
209,ܕܘܝܕ,ܕܰܘܺܝܕ,665,14890,Proper noun,ܕܰܘܺܝܕ Psalter (of David).,Psalter (of David),
210,ܦܪܘܩܐ,ܦܳܪܽܘܩܳܐ,2611,14840,NounAdj,"ܦܳܪܽܘܩܳܐ savior, deliverer.","savior, deliverer",
211,ܕܘܟܬܐ,ܕܽܘܟܬܳܐ,667,14502.35,NounAdj,ܕܽܘܟܬܳܐ (pl. ܕܽܘܟ̈ܝܳܬܳܐ) place.,place,Places
212,ܐܚܕ,ܐܶܚܰܕ,71,14382.2,Verb,"ܐܶܚܰܕ fut. ܢܶܐܚܽܘܕ, Ia to take, hold, seize; to hold, contain, possess; Ip to be taken, caught, held; to be closed, shut; IIa to shut, close, grasp; IIIa ܐܰܘܚܶܕ to kindle; to hand to; to let out.","to take, hold; to possess",
213,ܒܪܬܐ,ܒܰܪܬܳܐ,468,14352.41,NounAdj,ܒܰܪܬܳܐ daughter; egg.,daughter; egg,
214,ܢܦܠ,ܢܦܰܠ,1996,14272.8,Verb,"ܢܦܰܠ fut. ܢܶܦܶܠ, Ia to fall, collapse; to lie down; to be thrown; to happen, occur, befall; to lapse; IIa to be thrown down, fling down; IIp to fall away, waste away, to diminish, to rot; IIIa ܐܰܦܶܠ to overthrow; to leave out; to cause to fall; to seduce.",to fall; to happen,
215,ܠܠܝܐ,ܠܺܠܝܳܐ,1675,14233,NounAdj,ܠܺܠܝܳܐ (pl. ܠܰܝ̈ܠܰܘܳܬܳܐ) f. night,night,Time
216,ܣܰܒܪܐ,ܣܰܒܪܳܐ,2057,14177.74,NounAdj,"ܣܰܒܪܳܐ hope, expectation.","hope, expectation",
217,ܚܛܗܐ,ܚܛܳܗܳܐ,1011,14161,NounAdj,ܚܛܳܗܳܐ sin.,sin,Religion
218,ܪܥܝܢܐ,ܪܶܥܝܳܢܳܐ,3052,14133,NounAdj,"ܪܶܥܝܳܢܳܐ mind; opinion; meaning, sense.",mind; opinion; meaning,
219,ܐܕܡ,ܐܳܕܳܡ,32,14118,Proper noun,,Adam; human race,People
220,ܥܶܠܬܳܐ,ܥܶܠܬܳܐ,12584,14107.5,NounAdj,"ܥܶܠܬܳܐ, ܥܶܠ̈ܠܳܬܳܐ cause, pretext; rationale; affair, occasion; argument, heading.","cause, pretext; rationale",
221,ܛܠܝܐ,ܛܰܠܝܳܐ,1235,14083.68,NounAdj,"ܛܰܠܝܳܐ (pl. ܛܠܳܝ̈ܶܐ) child, boy; young; servant.",child; young; servant,
222,ܫܢܬܐ,ܫܰܢ̱ܬܳܐ ,5200,14061.77,NounAdj,ܫܰܢ̱ܬܳܐ (pl. ܫܢܰܝ̈ܳܐ) f. year; ܫܢܰܬ era of. ,year; era of,
223,ܛܽܘܪܐ,ܛܽܘܪܳܐ,1218,14028.36,NounAdj,ܛܽܘܪܳܐ mountain.,mountain,Nature
224,ܣܥܪ,ܣܥܰܪ,2175,13968.92,Verb,"ܣܥܰܪ fut. ܢܶܣܥܽܘܪ, Ia to do, act, perform; to visit; to care for; to inspect; Ip; IIa to visit; to vow one’s hair; IIp to be achieved; IIIa to grow hair.",to do; to visit; to care for,
225,ܐܦܢ,ܐܳܦܶܢ,244,13919,Particle,ܐܳܦܶܢ although.,although ,
226,ܩܠܝܠܐ,ܩܰܠܺܝܠܳܐ,2819,13700,NounAdj,"ܩܰܠܺܝܠܳܐ swift; light; ܩܰܠܺܝܠ a little, few; ܒܨܺܝܪ ܩܰܠܺܝܠ almost.",swift; light,Light
227,ܐܝܩܪܐ,ܐܺܝܩܳܪܳܐ,1416,13689,NounAdj,"ܐܺܝܩܳܪܳܐ honor, glory; mark of honor, honorarium; margin (of book).",honor; margin (of book),
228,ܗܦܟ,ܗܦܰܟ,807,13631,Verb,"ܗܦܰܟ fut. ܢܶܗܦܽܘܟ, Ia to turn, to return; to change; to convert; to do again; Ip to turn around; to be changed; to be overthrown; IIa to turn, to change; to overthrow; IIp to go about; to conduct oneself; to be occupied; to be intimate with; IIIa to turn, to change; to restore; to overthrow; to upset; to refute.",to turn; to change; to do again,
229,ܙܥܘܪܐ,ܙܥܽܘܪܳܐ,905,13308,NounAdj,"ܙܥܽܘܪܳܐ small, little; younger; ܙܥܽܘܪ̈ܶܐ few; ܒܰܙܥܽܘܪ̈ܝܳܬܳܐ in brief.","small, little; younger",
230,ܩܢܐ,ܩܢܳܐ,2837,13261.67,Verb,"ܩܢܳܐ fut. ܢܶܩܢܶܐ, Ia to acquire, possess; Ip; IIa to retain; to procure; IIp to acquire; IIIa to confer, bestow.","to acquire, possess",
231,ܐܡܬܝ,ܐܶܡܰܬܝ,175,13223,Particle,"ܐܶܡܰܬܝ when? -ܟܽܠ ܐܶܡܰܬܝ ܕ. whenever; ܒܟܽܠ ܐܶܡܰܬܝ at all times, every time; ܐܺܝܬ ܐܶܡܰܬܝ sometimes.",when?,
232,ܪܘܡܐ,ܪܰܘܡܳܐ,2982,13047.4,NounAdj,"ܪܰܘܡܳܐ height, summit; pride.",height; pride,Emotions
233,ܣܘܥܪܢܐ,ܣܽܘܥܪܳܢܳܐ,2173,12996,NounAdj,"ܣܽܘܥܪܳܢܳܐ act, deed, affair; fact, reality; Gram. object.",act; fact; Gram. object,Objects
234,ܝܬܒ,ܝܺܬܶܒ,1436,12957.28,Verb,"ܝܺܬܶܒ fut. ܢܶܬܶܒ, Ia to sit, sit down, be seated; to embark (on boat); to remain, abide; to settle; to dwell; to be situated; IIa to populate, cause to settle; IIp to be inhabited; to subside, settle down; to be populated; IIIa ܐܰܘܬܶܒ to cause to dwell, to settle; to restore; to appoint; IIIp to sojourn, to settle, to reside.",to sit; to embark (on boat); to remain,
235,ܙܢܐ,ܙܢܳܐ,897,12796.28,NounAdj,"ܙܢܳܐ species, variety, kind, manner. ܙܢܳܐ ܐ̱ܚܪܺܢܳܐ Lit. alternative (melody).","kind, manner",
236,ܬܠܡܝܕܐ,ܬܰܠܡܺܝܕܳܐ,1681,12784,NounAdj,"ܬܰܠܡܺܝܕܳܐ pupil, disciple.","pupil, disciple",
